SORRO  AA-579-PJ;Start;Destination;Fuel Cost (CFA);Road Fees (CFA)+Police;Total Expense;Tonnage (T);Total Gross (CFA);Total Net ;COMMENTAIRE;KM;;;;
lundi 15 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;51,64;413 120CFA;255 920CFA;;47 267km;;;;
mardi 16 septembre 25;LAUZOUA;ABIDJAN;0CFA;3 000CFA;3 000CFA;0,00;0CFA;-3 000CFA;Minning Close till 19 september 3K drivers transport;;;;;
mercredi 17 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;15 000CFA;150 000CFA;0,00;0CFA;-150 000CFA;10K washing 5k Grease;;;;;
jeudi 18 septembre 25;LAUZOUA;ABIDJAN;0CFA;22 200CFA;22 200CFA;50,98;407 840CFA;385 640CFA;;47 682km;;;;
vendredi 19 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;52,50;420 000CFA;262 800CFA;;48 061km;;;;
samedi 20 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;56,78;454 240CFA;297 040CFA;;48 441km;;;;
dimanche 21 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;52,48;419 840CFA;262 640CFA;;48 834km;;;;
lundi 22 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;53,12;424 960CFA;267 760CFA;;49 205km;;;;
mardi 23 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;58,36;466 880CFA;309 680CFA;;49 576km;;;;
mercredi 24 septembre 25;LAUZOUA;SAN PEDRO;135 000CFA;20 200CFA;155 200CFA;59,30;474 400CFA;319 200CFA;;49 969km;;;;
jeudi 25 septembre 25;LAUZOUA;SAN PEDRO;170 000CFA;15 150CFA;185 150CFA;58,58;468 640CFA;283 490CFA;;50 366km;;;;
vendredi 26 septembre 25;LAUZOUA;SAN PEDRO;195 811CFA;19 190CFA;215 001CFA;59,60;476 800CFA;261 799CFA;4K Tires probleme;59 757km;;;;
samedi 27 septembre 25;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;150 150CFA;58,24;465 920CFA;315 770CFA;;51 144km;;;;
dimanche 28 septembre 25;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;150 150CFA;63,38;507 040CFA;356 890CFA;;51 531km;;;;
lundi 29 septembre 25;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;150 150CFA;58,50;468 000CFA;317 850CFA;;51 918km;;;;
