AMARA AA-672-PS-09;Start;Destination;Fuel Cost (CFA);Road Fees (CFA);Total Expense;Tonnage (T);Total Gross (CFA);Total Net (€);;;;;;
27/07/2025;LAUZOUA;SAN PEDRO;;;0CFA;;0;0CFA;;;;;;
28/07/2025;LAUZOUA;SAN PEDRO;;;0CFA;;0;0CFA;;;;;;
29/07/2025;LAUZOUA;SAN PEDRO;;;0CFA;;0;0CFA;;;;;;
;;;;;0CFA;;;0;;;;;;
;TOTAL;;3 130 800CFA;431 350CFA;3 562 150CFA;1 207,06;9656480;6094330;;;;;;
;;;$5 218,00;$718,92;$5 936,92;;$16 094,13;$10 157,22;;;;;;
;;;;220000;;;;;;;;;;
;;;;TOTAL 02/06/2025 TRIP                ON 06/03/2025   30538Km                 Total distance for Trip   Km;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
jeudi 14 août 25;LAUZOUA;LAUZOUA;263 610CFA;40 400CFA;304 010CFA;;0;-304 010CFA;45 748km;10K Police 10K washing;;;;
vendredi 15 août 25;LAUZOUA;ABIDJAN;141 400CFA;23 300CFA;164 700CFA;52,86;422880;258 180CFA;46 144km;;;;;
samedi 16 août 25;LAUZOUA;ABIDJAN;141 400CFA;23 300CFA;164 700CFA;58,28;466240;301 540CFA;46 541km;;;;;
dimanche 17 août 25;LAUZOUA;ABIDJAN;141 400CFA;23 300CFA;164 700CFA;53,36;426880;262 180CFA;46 937km;;;;;
lundi 18 août 25;LAUZOUA;ABIDJAN;0CFA;23 300CFA;23 300CFA;54,86;438880;415 580CFA;47 282km;;;;;
mardi 19 août 25;LAUZOUA;ABIDJAN;;5 000CFA;5 000CFA;;0;-5 000CFA;;Wating at Port for licence plate;;;;
mercredi 20 août 25;LAUZOUA;ABIDJAN;141 400CFA;5 000CFA;146 400CFA;;0;-146 400CFA;;Wating at Port for licence plate;;;;
jeudi 21 août 25;LAUZOUA;ABIDJAN;141 400CFA;23 300CFA;164 700CFA;61,96;495680;330 980CFA;;;;;;
vendredi 22 août 25;LAUZOUA;ABIDJAN;141 400CFA;23 300CFA;164 700CFA;61,44;491520;326 820CFA;47 654km;;;;;
samedi 23 août 25;LAUZOUA;ABIDJAN;141 400CFA;33 300CFA;174 700CFA;64,12;512960;338 260CFA;48 050km;10K;;;;
dimanche 24 août 25;LAUZOUA;ABIDJAN;141 400CFA;23 300CFA;164 700CFA;58,22;465760;301 060CFA;48 447km;;;;;
lundi 25 août 25;LAUZOUA;ABIDJAN;;;;;0;0;;no transport;;;;
mardi 26 août 25;LAUZOUA;ABIDJAN;141 400CFA;23 300CFA;164 700CFA;56,34;450720;286 020CFA;48 778km;;;;;
mercredi 27 août 25;LAUZOUA;ABIDJAN;141 400CFA;23 300CFA;164 700CFA;63,80;510400;345 700CFA;49 152km;;;;;
jeudi 28 août 25;LAUZOUA;ABIDJAN;141 400CFA;42 400CFA;183 800CFA;55,00;440000;256 200CFA;49 532km;10K Police + PLus DOor Reparation 8K;;;;
vendredi 29 août 25;LAUZOUA;ABIDJAN;141 400CFA;33 300CFA;174 700CFA;53,04;424320;249 620CFA;49 908km;10K Police;;;;
samedi 30 août 25;LAUZOUA;ABIDJAN;140 000CFA;23 300CFA;163 300CFA;52,46;419680;256 380CFA;50 295km;;;;;
dimanche 31 août 25;LAUZOUA;ABIDJAN;140 000CFA;23 300CFA;163 300CFA;57,70;461600;298 300CFA;50 678km;;;;;
;;;;210 000CFA;;;;;;;;;;
;TOTAL;;2 240 410CFA;625 700CFA;2 866 110CFA;803,44;6427520;3771410;;;;;;
;;;$3 734,02;1 043CFA;$4 776,85;;$10 712,53;$6 285,68;;;;;;
;;;;;;;;;;;;;;
;;;;TOTAL 14/08/2025    TRIP  14  31/08/2   Total distance 4930Km;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
lundi 1 septembre 25;LAUZOUA;ABIDJAN;170 000CFA;23 300CFA;193 300CFA;57,28;458 240CFA;264 940CFA;51 059km;;;;;
mardi 2 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;23 300CFA;158 300CFA;51,04;408 320CFA;250 020CFA;51 454km;;;;;
mercredi 3 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;0CFA;135 000CFA;0,00;0CFA;-135 000CFA;;No prodoction in the minning;;;;
jeudi 4 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;23 300CFA;158 300CFA;55,08;440 640CFA;282 340CFA;51 820km;;;;;
vendredi 5 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;23 300CFA;158 300CFA;55,14;441 120CFA;282 820CFA;52 202km;;;;;
samedi 6 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;23 300CFA;158 300CFA;50,46;403 680CFA;245 380CFA;52 578km;;;;;
dimanche 7 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;33 300CFA;168 300CFA;53,94;431 520CFA;263 220CFA;52 960km;10K Police;;;;
lundi 8 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;35 500CFA;170 500CFA;54,56;436 480CFA;265 980CFA;53 338km;12K Truck grease;;;;
mardi 9 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;53,24;425 920CFA;268 720CFA;53 719km;;;;;
mercredi 10 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;55,30;442 400CFA;285 200CFA;54 097km;;;;;
jeudi 11 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;55,20;441 600CFA;284 400CFA;54 472km;;;;;
vendredi 12 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;54,86;438 880CFA;281 680CFA;54 850km;;;;;
samedi 13 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;52,36;418 880CFA;261 680CFA;55 227km;;;;;
dimanche 14 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;55,30;442 400CFA;285 200CFA;55 607km;;;;;
lundi 15 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;32 300CFA;167 300CFA;56,64;453 120CFA;285 820CFA;55 986km;;;;;
mardi 16 septembre 25;LAUZOUA;ABIDJAN;0CFA;5 000CFA;5 000CFA;0,00;0CFA;-5 000CFA;Minning Close Till 18 september;Minning Close Till 18september / 5K drivers transport;;;;
mercredi 17 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;15 000CFA;150 000CFA;0,00;0CFA;-150 000CFA;;10K washing 5K grease;;;;
jeudi 18 septembre 25;LAUZOUA;ABIDJAN;0CFA;22 200CFA;22 200CFA;52,88;423 040CFA;400 840CFA;56 377km;;;;;
vendredi 19 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;52,54;420 320CFA;263 120CFA;56 760km;;;;;
samedi 20 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;54,62;436 960CFA;279 760CFA;57 122km;;;;;
dimanche 21 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;53,62;428 960CFA;271 760CFA;57 502km;;;;;
lundi 22 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;54,66;437 280CFA;280 080CFA;57 900km;;;;;
mardi 23 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;32 200CFA;167 200CFA;56,14;449 120CFA;281 920CFA;58 279km;10K police;;;;
mercredi 24 septembre 25;LAUZOUA;SAN PEDRO;135 000CFA;20 200CFA;155 200CFA;53,60;428 800CFA;273 600CFA;58 665km;;;;;
jeudi 25 septembre 25;LAUZOUA;SAN PEDRO;357 502CFA;20 200CFA;377 702CFA;58,48;467 840CFA;90 138CFA;59 063km;;;;;
vendredi 26 septembre 25;LAUZOUA;SAN PEDRO;135 000CFA;25 500CFA;160 500CFA;57,80;462 400CFA;301 900CFA;59 454km;5K Police // fuel taken 25/09 night;;;;
